o,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,6/1/2021,72977,1139,867.714,2973,29,19.571,1831.962,28.593,21.782,74.632,0.728,0.491,1.41,,,,,,,,,,,,,,,,,,,,,,,5102,,,,,128,476,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/2/2021,74026,1049,897.571,3007,34,21.714,1858.296,26.333,22.532,75.486,0.854,0.545,1.4,,,,,,,,,,,,,,,,,,626290,481690,144600,,,5119,1.57,1.21,0.36,,129,331,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/3/2021,75119,1093,964.714,3034,27,23.571,1885.733,27.438,24.217,76.163,0.678,0.592,1.39,,,,,,,,,,,,,,,,,,630305,481800,148505,,4015,5285,1.58,1.21,0.37,,133,318,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/4/2021,76628,1509,1071.143,3068,34,26.714,1923.614,37.881,26.889,77.017,0.854,0.671,1.38,,,,,,,,,,,,,,,,,,,,,,,5273,,,,,132,320,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/5/2021,77963,1335,1121.714,3104,36,29.286,1957.127,33.513,28.159,77.921,0.904,0.735,1.37,,,,,,,,,,,,,,,,,,,,,,,5261,,,,,132,322,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/6/2021,79224,1261,1209,3145,41,32.286,1988.782,31.655,30.35,78.95,1.029,0.81,1.36,,,,,,,,,,,,,,,,,,,,,,,5250,,,,,132,324,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/7/2021,80841,1617,1286.143,3187,42,34.714,2029.374,40.592,32.286,80.004,1.054,0.871,1.34,,,,,,,,,,,,,,,,,,,,,,,4319,,,,,108,287,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/8/2021,82326,1485,1335.571,3251,64,39.714,2066.653,37.278,33.527,81.611,1.607,0.997,1.32,,,,,,,,,,,,,,,,,,641295,482952,158343,,,3388,1.61,1.21,0.4,,85,250,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/9/2021,84050,1724,1432,3305,54,42.571,2109.931,43.278,35.948,82.966,1.356,1.069,1.31,,,,,,,,,,,,,,,,,,,,,,,2637,,,,,66,223,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/10/2021,85892,1842,1539,3356,51,46,2156.171,46.24,38.634,84.247,1.28,1.155,1.29,,,,,,,,,,,,,,,,,,,,,,,2556,,,,,64,250,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/11/2021,87716,1824,1584,3412,56,49.143,2201.96,45.788,39.764,85.652,1.406,1.234,1.27,,,,,,,,,,,,,,,,,,,,,,,2735,,,,,69,259,0.001,41.67,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/12/2021,88740,1024,1539.571,3449,37,49.286,2227.665,25.706,38.648,86.581,0.929,1.237,1.25,,,,,,,,,,,,,,,,,,,,,,,2914,,,,,73,269,0.001,43.52,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/13/2021,89861,1121,1519.571,3527,78,54.571,2255.806,28.141,38.146,88.539,1.958,1.37,1.24,,,,,,,,,,,,,,,,,,,,,,,3093,,,,,78,278,0.001,43.52,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/14/2021,91458,1597,1516.714,3612,85,60.714,2295.896,40.09,38.075,90.673,2.134,1.524,1.22,,,,,,,,,,,,,,,,,,662003,484737,177266,,,3272,1.66,1.22,0.44,,82,288,0.001,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/15/2021,93272,1814,1563.714,3683,71,61.714,2341.433,45.537,39.254,92.455,1.782,1.549,1.21,,,,,,,,,,,,,,,,,,,,,,,4813,,,,,121,1994,0.005,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/16/2021,93288,16,1319.714,3683,0,54,2341.835,0.402,33.129,92.455,0,1.356,1.19,,,,,,,,,,,,,,,,,,,,,,,6175,,,,,155,3691,0.009,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/17/2021,96531,3243,1519.857,3842,159,69.429,2423.245,81.41,38.153,96.447,3.991,1.743,1.19,,,,,,,,,,,,,,,,,,,,,,,7538,,,,,189,5387,0.014,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/18/2021,98734,2203,1574,3934,92,74.571,2478.547,55.303,39.513,98.756,2.31,1.872,1.18,,,,,,,,,,,,,,,,,,,,,,,8900,,,,,223,7084,0.018,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/19/2021,100521,1787,1683,4030,96,83,2523.407,44.86,42.249,101.166,2.41,2.084,1.16,,,,,,,,,,,,,,,,,,,,,,,10262,,,,,258,8781,0.022,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/20/2021,101906,1385,1720.714,4122,92,85,2558.175,34.768,43.196,103.476,2.31,2.134,1.14,,,,,,,,,,,,,,,,,,,,,,,11624,,,,,292,10477,0.026,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,6/21/2021,103902,1996,1777.714,4215,93,86.143,2608.281,50.106,44.626,105.81,2.335,2.162,1.12,,,,,,,,,,,,,,,,,,,,,,,12986,,,,,326,12174,0.031,46.3,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
