year,name,n
6/1/2021,Afghanistan,21.782
6/2/2021,Afghanistan,22.532
6/3/2021,Afghanistan,24.217
6/4/2021,Afghanistan,26.889
6/5/2021,Afghanistan,28.159
6/6/2021,Afghanistan,30.35
6/7/2021,Afghanistan,32.286
6/8/2021,Afghanistan,33.527
6/9/2021,Afghanistan,35.948
6/10/2021,Afghanistan,38.634
6/11/2021,Afghanistan,39.764
6/12/2021,Afghanistan,38.648
6/13/2021,Afghanistan,38.146
6/14/2021,Afghanistan,38.075
6/15/2021,Afghanistan,39.254
6/16/2021,Afghanistan,33.129
6/17/2021,Afghanistan,38.153
6/18/2021,Afghanistan,39.513
6/19/2021,Afghanistan,42.249
6/20/2021,Afghanistan,43.196
6/21/2021,Afghanistan,44.626
6/22/2021,Afghanistan,44.745
6/23/2021,Afghanistan,52.606
6/24/2021,Afghanistan,46.624
6/25/2021,Afghanistan,46.111
6/26/2021,Afghanistan,45.197
6/27/2021,Afghanistan,44.16
6/28/2021,Afghanistan,42.493
6/29/2021,Afghanistan,40.915
6/30/2021,Afghanistan,38.379
7/1/2021,Afghanistan,38.315
7/2/2021,Afghanistan,37.884
7/3/2021,Afghanistan,37.156
7/4/2021,Afghanistan,37.755
7/5/2021,Afghanistan,36.529
7/6/2021,Afghanistan,36.959
7/7/2021,Afghanistan,37.16
7/8/2021,Afghanistan,35.492
7/9/2021,Afghanistan,33.818
7/10/2021,Afghanistan,33.323
7/11/2021,Afghanistan,31.666
7/12/2021,Afghanistan,31.257
7/13/2021,Afghanistan,30.214
7/14/2021,Afghanistan,27.334
7/15/2021,Afghanistan,27.757
7/16/2021,Afghanistan,26.771
7/17/2021,Afghanistan,26.706
7/18/2021,Afghanistan,25.189
7/19/2021,Afghanistan,24.551
7/20/2021,Afghanistan,23.4
7/21/2021,Afghanistan,21.944
7/22/2021,Afghanistan,19.114
7/23/2021,Afghanistan,15.736
7/24/2021,Afghanistan,12.344
7/25/2021,Afghanistan,11.723
7/26/2021,Afghanistan,9.991
7/27/2021,Afghanistan,9.303
7/28/2021,Afghanistan,10.005
7/29/2021,Afghanistan,10.088
7/30/2021,Afghanistan,11.06
7/31/2021,Afghanistan,12.509
8/1/2021,Afghanistan,13.018
8/2/2021,Afghanistan,13.269
8/3/2021,Afghanistan,12.781
8/4/2021,Afghanistan,12.125
8/5/2021,Afghanistan,12.068
8/6/2021,Afghanistan,11.788
8/7/2021,Afghanistan,11.067
8/8/2021,Afghanistan,10.604
8/9/2021,Afghanistan,10.016
8/10/2021,Afghanistan,8.754
8/11/2021,Afghanistan,8.456
8/12/2021,Afghanistan,7.897
8/13/2021,Afghanistan,7.029
8/14/2021,Afghanistan,6.1
8/15/2021,Afghanistan,5.648
8/16/2021,Afghanistan,4.892
8/17/2021,Afghanistan,4.411
8/18/2021,Afghanistan,3.844
8/19/2021,Afghanistan,3.041
8/20/2021,Afghanistan,2.431
8/21/2021,Afghanistan,1.994
8/22/2021,Afghanistan,1.714
8/23/2021,Afghanistan,1.582
8/24/2021,Afghanistan,1.495
8/25/2021,Afghanistan,1.287
8/26/2021,Afghanistan,1.474
8/27/2021,Afghanistan,1.836
8/28/2021,Afghanistan,1.829
8/29/2021,Afghanistan,1.872
8/30/2021,Afghanistan,2.026
8/31/2021,Afghanistan,2.008
9/1/2021,Afghanistan,1.929
9/2/2021,Afghanistan,1.736
9/3/2021,Afghanistan,1.488
9/4/2021,Afghanistan,1.391
9/5/2021,Afghanistan,1.399
9/6/2021,Afghanistan,1.384
9/7/2021,Afghanistan,1.456
9/8/2021,Afghanistan,1.707
9/9/2021,Afghanistan,1.915
9/10/2021,Afghanistan,2.105
9/11/2021,Afghanistan,2.105
9/12/2021,Afghanistan,2.033
9/13/2021,Afghanistan,2.008
9/14/2021,Afghanistan,1.987
9/15/2021,Afghanistan,1.962
9/16/2021,Afghanistan,1.868
9/17/2021,Afghanistan,1.883
9/18/2021,Afghanistan,1.811
