Year,Country Code,Country,Emissions_Per_Capita,Emissions
2020,004,Afghanistan,,0.006516126
2020,004,Afghanistan,,0.006516126
2020,004,Afghanistan,,0.006516126
2020,004,Afghanistan,,0.006516126
2020,004,Afghanistan,,0.006516126
2020,004,Afghanistan,,0.006516126
2020,004,Afghanistan,0.018,0.006516126
2020,004,Afghanistan,0,0.006516126
2020,004,Afghanistan,0,0.006516126
2020,004,Afghanistan,0,0.006516126
2020,004,Afghanistan,0,0.002469161
2020,004,Afghanistan,0,0.001198721
2020,004,Afghanistan,0.011,0.001147494
2020,004,Afghanistan,0.011,0.000276628
2020,004,Afghanistan,0.011,0.000122946
2020,004,Afghanistan,0.011,7.17E-05
2020,004,Afghanistan,0.022,0.006190886
2020,004,Afghanistan,0.022,0.002660462
2020,004,Afghanistan,0.022,0.001132973
2020,004,Afghanistan,0.022,0.001102625
2020,004,Afghanistan,0.043,0.000384401
2020,004,Afghanistan,0.061,0.000141622
2020,004,Afghanistan,0.065,7.08E-05
2020,004,Afghanistan,0.054,0.00724312
2020,004,Afghanistan,0.054,0.002489282
2020,004,Afghanistan,,0.001063131
2020,004,Afghanistan,,0.000993984
2020,004,Afghanistan,,0.00031116
2020,004,Afghanistan,,0.00012965
2020,004,Afghanistan,,6.91E-05
2020,004,Afghanistan,,0.007179803
2020,004,Afghanistan,,0.002390491
2020,004,Afghanistan,0.24,0.001174423
2020,004,Afghanistan,0.294,0.000999509
2020,004,Afghanistan,0.287,0.000408133
2020,004,Afghanistan,0.265,0.000133268
2020,004,Afghanistan,0.445,5.00E-05
2020,004,Afghanistan,0.423,0.007166427
2020,004,Afghanistan,0.556,0.002449377
2020,004,Afghanistan,0.638,0.001184714
2020,004,Afghanistan,0.588,0.001046618
2020,004,Afghanistan,0.663,0.00023985
2020,004,Afghanistan,0.8,0.000101755
2020,004,Afghanistan,0.721,9.45E-05
2020,004,Afghanistan,0.828,4.36E-05
2020,004,Afghanistan,0.75,0.007988785
2020,004,Afghanistan,0.904,0.002388182
2020,004,Afghanistan,0.9,0.001380778
2020,004,Afghanistan,0.918,0.001091941
2020,004,Afghanistan,0.968,0.000422687
2020,004,Afghanistan,1.069,7.04E-05
2020,004,Afghanistan,1.244,4.23E-05
2020,004,Afghanistan,1.255,3.52E-05
2020,004,Afghanistan,1.162,0.008241401
2020,004,Afghanistan,1.388,0.002406723
2020,004,Afghanistan,1.356,0.001496071
2020,004,Afghanistan,1.395,0.001086278
2020,004,Afghanistan,1.295,0.000318728
2020,004,Afghanistan,1.155,7.16E-05
2020,004,Afghanistan,1.37,6.50E-05
2020,004,Afghanistan,1.366,5.20E-05
2020,004,Afghanistan,1.513,0.009039904
2020,004,Afghanistan,1.901,0.002174724
2020,004,Afghanistan,1.919,0.001750074
2020,004,Afghanistan,2.428,0.001145269
2020,004,Afghanistan,2.636,0.000321705
2020,004,Afghanistan,2.335,9.65E-05
2020,004,Afghanistan,3.389,6.43E-05
2020,004,Afghanistan,4.085,5.15E-05
2020,004,Afghanistan,3.608,0.009749429
2020,004,Afghanistan,3.364,0.002132523
2020,004,Afghanistan,2.747,0.001968888
2020,004,Afghanistan,5.01,0.001129604
2020,004,Afghanistan,5.612,0.000406446
2020,004,Afghanistan,4.992,0.000137242
2020,004,Afghanistan,3.923,9.50E-05
2020,004,Afghanistan,6.932,6.33E-05
2020,004,Afghanistan,7.872,0.010088839
2020,004,Afghanistan,8.958,0.002182656
2020,004,Afghanistan,6.251,0.0019924
2020,004,Afghanistan,6.982,0.000998843
2020,004,Afghanistan,8.93,0.000391081
2020,004,Afghanistan,10.181,8.98E-05
2020,004,Afghanistan,8.008,6.34E-05
2020,004,Afghanistan,8.636,4.76E-05
2020,004,Afghanistan,9.64,0.011464785
2020,004,Afghanistan,11.397,0.002271138
2020,004,Afghanistan,11.967,0.001943856
2020,004,Afghanistan,11.343,0.001071104
2020,004,Afghanistan,12.731,0.000267776
2020,004,Afghanistan,14.463,0.000119012
2020,004,Afghanistan,14.732,8.93E-05
2020,004,Afghanistan,15.284,5.45E-05
2020,004,Afghanistan,15.492,0.012296062
2020,004,Afghanistan,15.872,0.002879425
2020,004,Afghanistan,16.242,0.001887397
2020,004,Afghanistan,16.414,0.00121587
2020,004,Afghanistan,16.181,0.000396811
2020,004,Afghanistan,16.697,7.63E-05
2020,004,Afghanistan,16.715,7.12E-05
2020,004,Afghanistan,17.529,6.10E-05
2020,004,Afghanistan,17.483,0.01305382
2020,004,Afghanistan,19.043,0.002783274
2020,004,Afghanistan,18.318,0.002022986
2020,004,Afghanistan,18.82,0.001133762
2020,004,Afghanistan,18.53,0.000369028
2020,004,Afghanistan,16.963,9.34E-05
2020,004,Afghanistan,17.483,7.11E-05
2020,004,Afghanistan,17.927,6.22E-05
2020,004,Afghanistan,16.414,0.014425126
2020,004,Afghanistan,16.321,0.00364513
2020,004,Afghanistan,15.865,0.001718228
2020,004,Afghanistan,16.532,0.00132308
2020,004,Afghanistan,15.819,0.000364069
2020,004,Afghanistan,16.97,0.000124316
2020,004,Afghanistan,15.948,0.000106557
2020,004,Afghanistan,15.535,6.66E-05
2020,004,Afghanistan,15.044,0.015578119
2020,004,Afghanistan,14.585,0.004458156
2020,004,Afghanistan,12.968,0.001771397
2020,004,Afghanistan,13.8,0.001262862
2020,004,Afghanistan,9.919,0.000398352
2020,004,Afghanistan,10.178,0.00015256
2020,004,Afghanistan,8.542,7.63E-05
2020,004,Afghanistan,8.316,4.24E-05
2020,004,Afghanistan,7.653,0.016280397
2020,004,Afghanistan,7.513,0.004560777
2020,004,Afghanistan,6.735,0.001744184
2020,004,Afghanistan,7.61,0.00141639
2020,004,Afghanistan,6.624,0.000388496
2020,004,Afghanistan,7.402,0.000141639
2020,004,Afghanistan,7.373,7.69E-05
2020,004,Afghanistan,7.115,5.26E-05
2020,004,Afghanistan,6.548,0.017429056
2020,004,Afghanistan,7.262,0.005420785
2020,004,Afghanistan,6.57,0.00145639
2020,004,Afghanistan,5.849,0.001357181
2020,004,Afghanistan,6.706,0.00041271
2020,004,Afghanistan,6.021,0.000146829
2020,004,Afghanistan,5.379,7.14E-05
2020,004,Afghanistan,4.988,3.57E-05
2020,004,Afghanistan,4.863,0.018201591
2020,004,Afghanistan,4.827,0.005928909
2020,004,Afghanistan,5.082,0.0014782
2020,004,Afghanistan,3.712,0.001425838
2020,004,Afghanistan,3.364,0.000326251
2020,004,Afghanistan,3.672,0.000197362
2020,004,Afghanistan,3.78,9.26E-05
2020,004,Afghanistan,3.138,3.63E-05
2020,004,Afghanistan,2.822,0.019077426
2020,004,Afghanistan,3.03,0.006095292
2020,004,Afghanistan,2.697,0.001535678
2020,004,Afghanistan,2.679,0.001353294
2020,004,Afghanistan,2.446,0.000372065
2020,004,Afghanistan,2.704,0.000171441
2020,004,Afghanistan,2.7,7.66E-05
2020,004,Afghanistan,2.668,4.74E-05
2020,004,Afghanistan,2.249,0.020396784
2020,004,Afghanistan,2.012,0.006816437
2020,004,Afghanistan,2.417,0.001656633
2020,004,Afghanistan,1.983,0.001317225
2020,004,Afghanistan,1.603,0.000395976
2020,004,Afghanistan,1.359,0.000226272
2020,004,Afghanistan,1.284,5.66E-05
2020,004,Afghanistan,1.27,4.44E-05
2020,004,Afghanistan,1.417,0.019960664
2020,004,Afghanistan,1.094,0.00783888
2020,004,Afghanistan,1.234,0.002089529
2020,004,Afghanistan,1.234,0.001186374
2020,004,Afghanistan,1.872,0.000396507
2020,004,Afghanistan,1.85,0.000280072
2020,004,Afghanistan,1.894,8.18E-05
2020,004,Afghanistan,1.772,7.24E-05
2020,004,Afghanistan,1.922,0.020638629
2020,004,Afghanistan,1.944,0.008547311
2020,004,Afghanistan,1.944,0.001864439
2020,004,Afghanistan,1.183,0.001246893
2020,004,Afghanistan,0.911,0.000338274
2020,004,Afghanistan,1.201,0.000267472
2020,004,Afghanistan,1.524,8.26E-05
2020,004,Afghanistan,1.23,3.15E-05
2020,004,Afghanistan,1.28,0.0212854
2020,004,Afghanistan,1.445,0.009656373
2020,004,Afghanistan,1.689,0.002068968
